date,dec_time,H,D,Z,M
2019-08-24 00:00:00,0.0,13172.129379999998,307.95002,53897.415,55529.08667581171
2019-08-24 06:00:00,6.0,13175.586879999999,328.38938,53904.527480000004,55537.195785746466
2019-08-24 12:00:00,12.0,13184.76876,334.02874,53877.425619999995,55513.113571980735
2019-08-24 18:00:00,18.0,13166.131899999998,337.01124,53888.707519999996,55519.67576203792
2019-08-25 00:00:00,0.0,13173.021859999999,306.95186,53893.152500000004,55525.327495109756
2019-08-25 06:00:00,6.0,13205.02688,327.00998,53920.07126,55558.714417946954
2019-08-25 12:00:00,12.0,13174.357500000002,323.40004,53891.188780000004,55524.053578267965
2019-08-25 18:00:00,18.0,13158.2894,347.75314000000003,53893.55438,55522.57447039748
2019-08-26 00:00:00,0.0,13174.256899999998,302.25750000000005,53892.170000000006,55524.64849065685
2019-08-26 06:00:00,6.0,13185.92376,321.79752,53896.04064,55531.30375902351
2019-08-26 12:00:00,12.0,13157.9856,338.05249999999995,53820.35314,55452.008419428814
2019-08-26 18:00:00,18.0,13156.794380000001,346.51185999999996,53895.88249999999,55524.44692407572
2019-08-27 00:00:00,0.0,13159.894380000002,283.28188000000006,53895.21316,55524.14298814231
2019-08-27 06:00:00,6.0,13215.743760000001,314.21688000000006,53911.47126,55552.24582185266
2019-08-27 12:00:00,12.0,12922.18628,303.11874,53753.98938,55336.86416547709
2019-08-27 18:00:00,18.0,13147.122519999999,354.34376,53888.28814,55514.93209158375
2019-08-28 00:00:00,0.0,13178.761900000001,293.94309999999996,53899.952520000006,55533.09493671041
2019-08-28 06:00:00,6.0,13204.260620000001,315.25747999999993,53906.770019999996,55545.741664465946
2019-08-28 12:00:00,12.0,13183.50126,320.30688000000004,53896.065619999994,55530.75937107749
2019-08-28 18:00:00,18.0,13156.22064,341.75999999999993,53895.940619999994,55524.30828060615
2019-08-29 00:00:00,0.0,13202.28816,303.93748000000005,53898.925,55537.66644125021
2019-08-29 06:00:00,6.0,13177.772500000001,316.06813999999997,53897.34438,55530.596237926395
2019-08-29 12:00:00,12.0,13193.10438,320.52811999999994,53892.075639999995,55529.138701784446
2019-08-29 18:00:00,18.0,13169.7544,342.1943600000001,53890.708759999994,55522.41227480742
2019-08-30 00:00:00,0.0,13189.83438,293.22002000000003,53896.0794,55532.09055515912
2019-08-30 06:00:00,6.0,13191.018780000002,313.33688000000006,53902.59251999999,55538.71803948302
2019-08-30 12:00:00,12.0,13103.24314,305.35936000000004,53898.20316,55515.438058114785
2019-08-30 18:00:00,18.0,13015.30064,306.02997999999997,53760.28752,55361.846728905264
2019-08-31 00:00:00,0.16662033333333306,13673.845833333333,165.58385,53612.980749999995,55380.79016685834
2019-08-31 06:00:00,6.0,13123.76312,319.1768800000001,53706.09251999999,55333.49356030638
2019-08-31 12:00:00,12.0,12813.681260000001,259.98624,54079.207519999996,55617.5214678221
2019-08-31 18:00:00,18.0,13153.24126,353.25563999999997,53846.32626,55475.4924267862
2019-09-01 00:00:00,0.0,13277.56562,319.4794,53925.461899999995,55580.5153474194
2019-09-01 06:00:00,6.0,13166.701259999998,341.24938,53726.94124,55364.574830920064
2019-09-01 12:00:00,12.0,12186.716260000001,-10.039379999999984,53951.99314,55369.90596933304
2019-09-01 18:00:00,18.0,13084.51626,363.84502000000003,53880.07314000001,55492.73067261519
2019-09-02 00:00:00,0.0,13289.335000000001,344.875,53958.86002,55614.40793474119
2019-09-02 06:00:00,6.0,13217.326879999999,333.49814,53897.24316,55538.84582262044
2019-09-02 12:00:00,12.0,13057.362519999999,297.6175,53937.652480000004,55543.0010896609
2019-09-02 18:00:00,18.0,13103.79128,327.57000000000005,53849.289399999994,55467.18074201447
2019-09-03 00:00:00,0.0,13170.244400000001,298.0212399999999,53905.640020000006,55536.646610626
2019-09-03 06:00:00,6.0,13220.61938,401.33938,53901.78064,55544.727070777444
2019-09-03 12:00:00,12.0,13133.25876,310.28,53888.63126000001,55512.715235324365
2019-09-03 18:00:00,18.0,13144.835019999999,343.86249999999995,53896.792519999995,55522.48162964547
2019-09-04 00:00:00,0.0,13180.046859999999,298.87936,53904.393760000006,55537.707013786145
2019-09-04 06:00:00,6.0,13198.60624,324.1687599999999,53915.620019999995,55552.90821226777
2019-09-04 12:00:00,12.0,13198.23438,314.82438,53909.10002,55546.43543814223
2019-09-04 18:00:00,18.0,13153.948139999999,329.85375999999997,53856.72439999999,55485.80218431212
2019-09-05 00:00:00,0.0,13178.663120000001,303.31252,53906.65316,55539.45967203817
2019-09-05 06:00:00,6.0,13194.160639999998,340.03064000000006,53855.55812,55494.232833111055
2019-09-05 12:00:00,12.0,13137.13314,324.5787399999999,53828.733759999996,55455.47196711138
2019-09-05 18:00:00,18.0,13174.06628,330.94061999999997,53897.86062000001,55530.23897344356
2019-09-06 00:00:00,0.0,13204.82502,319.00872,53910.51314000001,55549.2843257902
2019-09-06 06:00:00,6.0,13214.107500000002,332.27438,53871.835,55513.22176325573
2019-09-06 12:00:00,12.0,13166.981880000001,324.06876,53892.300619999995,55523.36954312164
2019-09-06 18:00:00,18.0,13169.14314,316.96564,53898.2375,55529.37203574749
2019-09-07 00:00:00,0.0,13170.55062,306.25250000000005,53904.171259999996,55535.21039026355
2019-09-07 06:00:00,6.0,13190.506239999999,314.14436,53907.53688000001,55543.29570177999
2019-09-07 12:00:00,12.0,13124.985620000001,305.44685999999996,53842.664379999995,55466.21487523377
2019-09-07 18:00:00,18.0,13162.49626,326.44750000000005,53888.515,55518.27945804485
