date,dec_time,H,D,Z,M
2001-09-01 00:00:00,0.0,12724.825,153.94685,54700.52815,56184.88597775294
2001-09-01 06:00:00,6.0,12735.7641,185.05625,54701.912500000006,56188.656409174
2001-09-01 12:00:00,12.0,12661.6094,177.35000000000002,54603.05,56076.799311295734
2001-09-01 18:00:00,18.0,12690.484400000001,201.32184999999998,54676.6469,56153.975276313664
2001-09-02 00:00:00,0.0,12705.0297,152.54065,54689.18905,56169.31645019196
2001-09-02 06:00:00,6.0,12713.7641,175.93595,54678.68285,56161.18262809911
2001-09-02 12:00:00,12.0,12646.5344,182.0672,54616.1578,56086.18827514679
2001-09-02 18:00:00,18.0,12594.8813,229.9172,54538.239050000004,55998.675385614275
2001-09-03 00:00:00,0.0,12691.5297,128.29215,54689.754700000005,56166.86129983977
2001-09-03 06:00:00,6.0,12734.509399999999,170.225,54697.89535,56184.43101543458
2001-09-03 12:00:00,12.0,12722.785950000001,189.29685,54738.71094999999,56221.33652994923
2001-09-03 18:00:00,18.0,12758.94845,248.6547,54695.07815,56187.35538732646
2001-09-04 00:00:00,0.0,12787.71565,177.55625,54767.11875,56263.421956597565
2001-09-04 06:00:00,6.0,12899.571899999999,182.4641,54659.9375,56185.181142336995
2001-09-04 12:00:00,12.0,12451.8297,114.25155000000001,54764.47345,56185.3880795883
2001-09-04 18:00:00,18.0,12597.13125,228.41095,54606.8391,56066.03942972242
2001-09-05 00:00:00,0.0,12724.7094,159.60154999999997,54727.525,56210.841014524674
2001-09-05 06:00:00,6.0,12711.37345,177.41559999999998,54684.31405,56166.069773888856
2001-09-05 12:00:00,12.0,12715.82035,177.375,54672.8969,56156.1181366963
2001-09-05 18:00:00,18.0,12584.0797,231.7672,54645.846900000004,56100.63207949103
2001-09-06 00:00:00,0.0,12718.325,171.04690000000002,54704.8781,56187.53296328743
2001-09-06 06:00:00,6.0,12739.2844,180.6875,54688.385949999996,56176.31599568478
2001-09-06 12:00:00,12.0,12653.959350000001,173.2578,54669.20155,56139.24750857016
2001-09-06 18:00:00,18.0,12726.04375,215.18435000000002,54688.6516,56173.61126535843
2001-09-07 00:00:00,0.0,12692.8672,161.1031,54680.43595,56158.05130430162
2001-09-07 06:00:00,6.0,12716.23905,176.41405,54679.82815,56162.79226871504
2001-09-07 12:00:00,12.0,12732.0688,183.3547,54680.91875,56167.467395197054
2001-09-07 18:00:00,18.0,12710.7422,227.89845,54689.23125,56170.69232395821
2001-09-08 00:00:00,0.0,12699.6141,172.65935,54680.74065,56159.73482079275
2001-09-08 06:00:00,6.0,12770.07185,187.31560000000002,54727.659400000004,56220.88692331934
2001-09-08 12:00:00,12.0,12589.7313,139.4328,54632.78125,56089.21513173974
2001-09-08 18:00:00,18.0,12670.8047,208.77184999999997,54635.6875,56110.05650669428
2001-09-09 00:00:00,0.0,12700.892199999998,164.78905,54701.846900000004,56180.663435598384
2001-09-09 06:00:00,6.0,12715.140650000001,174.79999999999998,54687.69375,56170.147689248566
2001-09-09 12:00:00,12.0,12711.2297,184.10155,54676.02345,56158.21644240225
2001-09-09 18:00:00,18.0,12718.31565,221.65155,54689.912500000006,56173.028895970296
2001-09-10 00:00:00,0.0,12706.53905,165.63905,54696.0016,56176.26209386681
2001-09-10 06:00:00,6.0,12723.34685,173.70785,54678.7969,56163.39260111
2001-09-10 12:00:00,12.0,12724.6547,184.76875,54684.02505,56168.785889454855
2001-09-10 18:00:00,18.0,12701.96095,224.6609,54674.667199999996,56154.61091225488
2001-09-11 00:00:00,0.0,12704.5406,154.6281,54685.95155,56166.01392659862
2001-09-11 06:00:00,6.0,12725.9125,171.48595,54687.007849999995,56171.90580738272
2001-09-11 12:00:00,12.0,12724.1391,190.57184999999998,54682.57815,56167.41287591215
2001-09-11 18:00:00,18.0,12617.7094,218.72029999999998,54595.568750000006,56059.09533539712
2001-09-12 00:00:00,0.0,12691.4922,132.9828,54712.50315,56188.87388893499
2001-09-12 06:00:00,6.0,12942.61875,101.04530000000001,54611.465599999996,56148.771110302274
2001-09-12 12:00:00,12.0,12649.245299999999,220.34535,54698.54845,56165.79610580619
2001-09-12 18:00:00,18.0,12721.848450000001,216.85,54682.868749999994,56166.75612586338
2001-09-13 00:00:00,0.0,11236.3688,-105.7969,55470.5406,56597.2442019036
2001-09-13 06:00:00,6.0,11227.0219,-98.6438,55228.8125,56358.47302316232
2001-09-13 12:00:00,12.0,11203.8344,-84.4469,55492.2219,56612.010456619384
2001-09-13 18:00:00,18.0,11196.6875,-49.8188,55425.9094,56545.55442917239
2001-09-14 00:00:00,3.5,12391.49065,-87.18282500000001,55077.758625,56467.982571760906
2001-09-14 06:00:00,6.0,12520.3771,-3.54376666666667,54945.674999999996,56371.22940855746
2001-09-14 12:00:00,12.0,12517.6448,8.4375,54944.873966666666,56369.86273176062
2001-09-14 18:00:00,18.0,11671.90785,-189.16255,55446.425,56663.58027700647
2001-09-15 00:00:00,0.0,12535.502066666668,11.51873333333333,54929.84686666667,56359.087539713415
2001-09-15 06:00:00,6.0,12536.8375,-11.694800000000006,54966.55003333333,56394.997107228635
2001-09-15 12:00:00,12.0,12438.421900000001,-4.963533333333335,54962.205200000004,56369.29808812449
2001-09-15 18:00:00,18.0,11621.95315,-152.88279999999997,55418.74375,56626.27388002336
2001-09-16 00:00:00,0.0,12535.331233333332,-13.835433333333318,54975.769766666665,56403.73560671709
2001-09-16 06:00:00,6.0,12501.417733333334,-9.320833333333326,54954.74583333333,56375.88638204548
2001-09-16 12:00:00,12.0,12507.986466666667,5.468766666666663,54953.04376666667,56375.6493877097
2001-09-16 18:00:00,18.0,11550.546900000001,-153.2344,55394.2141,56587.65741907175
2001-09-17 00:00:00,0.0,12478.383333333333,-11.787499999999985,54947.9677,56364.18123710667
2001-09-17 06:00:00,6.0,12522.488533333331,-10.159366666666662,54958.403099999996,56384.06498891228
2001-09-17 12:00:00,12.0,12191.895833333334,-40.30730000000002,54923.67393333333,56278.56224665036
2001-09-17 18:00:00,18.0,11671.42505,-191.1641,55453.6594,56670.57831378194
